
# Curve 0 of 1, 67 points
# Curve title: ""germany.csv" u 0:(log($2))"
# x y type
0  NaN  u
1  NaN  u
2  NaN  u
3  NaN  u
4  NaN  u
5 0  i
6 1.38629  i
7 1.38629  i
8 1.38629  i
9 1.60944  i
10 2.07944  i
11 2.30259  i
12 2.48491  i
13 2.48491  i
14 2.48491  i
15 2.48491  i
16 2.56495  i
17 2.56495  i
18 2.63906  i
19 2.63906  i
20 2.77259  i
21 2.77259  i
22 2.77259  i
23 2.77259  i
24 2.77259  i
25 2.77259  i
26 2.77259  i
27 2.77259  i
28 2.77259  i
29 2.77259  i
30 2.77259  i
31 2.77259  i
32 2.77259  i
33 2.77259  i
34 2.83321  i
35 3.29584  i
36 3.82864  i
37 3.8712  i
38 4.36945  i
39 4.86753  i
40 5.0689  i
41 5.27811  i
42 5.56834  i
43 6.17794  i
44 6.50728  i
45 6.68336  i
46 6.94698  i
47 7.06987  i
48 7.28413  i
49 7.55381  i
50 7.63916  i
51 8.20931  i
52 8.43055  i
53 8.66475  i
54 8.89179  i
55 9.13314  i
56 9.41955  i
57 9.63691  i
58 9.89586  i
59 10.0084  i
60 10.1215  i
61 10.277  i
62 10.4038  i
63 10.5274  i
64 10.6905  i
65 10.837  i
66 10.9629  i

